x,y
1423,108
1424,108
1425,130
1426,131
1427,134
1428,137
1429,131
1430,130
1431,107
1432,107
1433,107
1434,107
1435,107
1436,129
1437,133
1438,135
1439,137
1440,137
1441,139
1442,107
1443,163
1444,163
1445,163
1446,161
1447,162
1448,139
1449,138
1450,134
1451,133
1452,135
1453,139
1454,135
1455,164
1456,163
1457,163
1458,163
1459,161
1460,135
1461,139
1462,137
1463,134
1464,134
1465,130
1466,105
1467,105
1468,105
1472,227
1473,226
1474,224
1475,224
1476,224
1477,221
1478,163
1479,160
1480,108
1481,162
1482,162
1483,162
1484,162
1485,140
1486,134
1487,134
1488,130
1489,134
1490,139
1491,106
1492,106
1493,106
1494,106
1495,106
1496,128
1497,131
1498,134
1499,134
1500,135
1501,131
1502,108
1503,108
1504,118
1505,118
1506,118
1507,139
1508,140
1509,138
1510,137
1511,138
1512,138
1513,129
1514,134
1515,134
1516,134
1517,108
1518,135
1519,134
1520,135
1521,135
1522,135
1523,135
1524,135
1525,161
1526,135
1527,135
1528,135
1529,135
1530,135
1531,135
1532,135
1533,135
1534,135
1535,135
1536,108
1537,135
1538,161
1539,135
1540,162
1541,162
1542,162
1543,107
1544,139
1545,137
1546,138
1547,138
1548,138
1549,130
1550,135
1551,108
1552,162
1553,162
1554,162
1555,162
1556,138
1557,136
1558,137
1559,137
1560,138
1561,139
1562,135
1563,135
1564,108
1565,108
1566,108
1567,130
1568,131
1569,134
1570,134
1571,134
1572,134
1573,134
1574,106
1575,105
1576,105
1577,105
1578,105
1579,118
1580,129
1581,129
1582,130
1583,129
1584,107
1585,162
1586,162
1587,162
1588,162
1589,163
1590,164
1591,163
1592,162
1593,163
1594,164
1595,164
1596,164
1597,164
1598,164
1599,164
1600,164
1601,161
1602,130
1603,137
1604,135
1605,135
1606,135
1607,138
1608,135
1609,162
1610,162
1611,162
1612,162
1613,162
1614,107
1615,130
1616,132
1617,132
1618,132
1619,136
1620,135
1621,135
1622,162
1623,162
1624,162
1625,162
1626,162
1627,139
1628,138
1629,138
1630,138
1631,138
1632,140
1633,135
1634,135
1635,162
1636,162
1637,162
1638,162
1639,130
1640,129
1641,130
1642,130
1643,130
1644,129
1645,135
1646,135
1647,135
1648,135
1649,135
1650,133
1651,129
1652,129
